{\rtf1\ansi\ansicpg1252\cocoartf2868
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww29700\viewh17920\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 Estado;Unidades Ativa Licen\'e7a de Zcte MW Pcte MW Reativa Icte Mvar Zcte Mvar Zcte Mvar Tens\'e3o;;;;;;;;;;;;;\
Barra Nome Barra Grupo Operativo Unidades Opera\'e7\'e3o (MW) Uso (%) (%);(Mvar);(%);(%);(%);Limite (p.u.) VDef (p.u.);;;;;;;;;\
201 SLO A 23;1 Ligado;1;1;3,45;0;0;100;1,45;0;0;100;100;1000;\
204 MRA A 23;1 Ligado;1;1;2,3;0;0;100;0,97;0;0;100;100;1000;\
204 MRA A 23;2 Ligado;1;1;3,16;0;0;100;1,33;0;0;100;100;1000;\
204 MRA A 23;3 Ligado;1;1;2,18;0;0;100;0,92;0;0;100;100;1000;\
204 MRA A 23;4 Ligado;1;1;3,16;0;0;100;1,33;0;0;100;100;1000;\
204 MRA A 23;5 Ligado;1;1;3,45;0;0;100;1,45;0;0;100;100;1000;\
204 MRA A 23;6 Ligado;1;1;2,3;0;0;100;0,97;0;0;100;100;1000;\
204 MRA A 23;7 Ligado;1;1;3,22;0;0;100;1,36;0;0;100;100;1000;\
214 VEL 23;1 Ligado;1;1;3,45;0;0;100;1,45;0;0;100;100;1000;\
214 VEL 23;2 Ligado;1;1;3,45;0;0;100;1,45;0;0;100;100;1000;\
214 VEL 23;3 Ligado;1;1;3,45;0;0;100;1,45;0;0;100;100;1000;\
221 LUQ A 23;1 Ligado;1;1;4,6;0;0;100;1,94;0;0;100;100;1000;\
241 VTA AB 23;1 Ligado;1;1;6,89;0;0;100;2,9;0;0;100;100;1000;\
256 AYO A 23;1 Ligado;1;1;6,89;0;0;100;2,9;0;0;100;100;1000;\
256 AYO A 23;2 Ligado;1;1;6,89;0;0;100;2,9;0;0;100;100;1000;\
293 CAP A 23;1 Ligado;1;1;0,18;0;0;100;0,08;0;0;100;100;1000;\
295 HER A 23;1 Ligado;1;1;3,31;0;0;100;1,4;0;0;100;100;1000;\
407 ALT B1 220 1 Ligado;1;1;26,38;0;0;100;11,08;0;0;100;100;1000;;\
407 ALT B1 220 2 Ligado;1;1;4,75;0;0;100;2;0;0;100;100;1000;;\
440 BRO 220;1 Ligado;1;1;0;0;0;100;0;0;0;100;100;1000;\
440 BRO 220;2 Ligado;1;1;0;0;0;100;0;0;0;100;100;1000;\
440 BRO 220;3 Ligado;1;1;0;0;0;100;0;0;0;100;100;1000;\
440 BRO 220;4 Ligado;1;1;0;0;0;100;0;0;0;100;100;1000;\
449 YZU 220;1 Ligado;1;1;0;0;0;100;0;0;0;100;100;1000;\
449 YZU 220;2 Ligado;1;1;105,5;0;0;100;44,31;0;0;100;100;1000;\
456 AYO B1 220 1 Ligado;1;1;31,6;0;0;100;13,2;0;0;100;100;1000;;\
475 PPE B1 220 1 Ligado;1;1;52,7;0;0;100;22,1;0;0;100;100;1000;;\
1204 DES A 23;1 Ligado;1;1;3,45;0;0;100;1,45;0;0;100;100;1000;\
1204 DES A 23;2 Ligado;1;1;1,5;0;0;100;0,63;0;0;100;100;1000;\
1204 DES A 23;3 Ligado;1;1;0,58;0;0;100;0,25;0;0;100;100;1000;\
1207 ALT A 23;1 Ligado;1;1;6,89;0;0;100;2,9;0;0;100;100;1000;\
1207 ALT A 23;2 Ligado;1;1;3,22;0;0;100;1,36;0;0;100;100;1000;\
1207 ALT A 23;3 Ligado;1;1;6,89;0;0;100;2,9;0;0;100;100;1000;\
1244 LIM AB 23;1 Ligado;1;1;1,38;0;0;100;0,58;0;0;100;100;1000;\
1277 VIL B 23;1 Ligado;1;1;1,5;0;0;100;0,63;0;0;100;100;1000;\
2246 CNU AB 23;1 Ligado;1;1;6,89;0;0;100;2,9;0;0;100;100;1000;\
2246 CNU AB 23;2 Ligado;1;1;3,1;0;0;100;1,31;0;0;100;100;1000;\
2250 SRI 23;1 Ligado;1;1;0,23;0;0;100;0,1;0;0;100;100;1000;\
2272 CBA 23;1 Ligado;1;1;3,45;0;0;100;1,45;0;0;100;100;1000;\
2491 SGA A 23;1 Ligado;1;1;3,45;0;0;100;1,45;0;0;100;100;1000;\
4295 PIH AB 23;1 Ligado;1;1;0,35;0;0;100;0,15;0;0;100;100;1000;\
4295 PIH AB 23;2 Ligado;1;1;1,38;0;0;100;0,58;0;0;100;100;1000;\
4295 PIH AB 23;3 Ligado;1;1;1,73;0;0;100;0,73;0;0;100;100;1000;\
4295 PIH AB 23;4 Ligado;1;1;1,15;0;0;100;0,49;0;0;100;100;1000;\
4295 PIH AB 23;5 Ligado;1;1;6,89;0;0;100;2,9;0;0;100;100;1000;\
4295 PIH AB 23;6 Ligado;1;1;6,89;0;0;100;2,9;0;0;100;100;1000;\
4495 PIH B1 220 1 Ligado;1;1;105,5;0;0;100;44,31;0;0;100;100;1000;;\
4495 PIH B1 220 2 Ligado;1;1;116;0;0;100;48,72;0;0;100;100;1000;;}
